eid,bid,ans
20130702_135652,2083,20
20130702_135652,10341,20
20130702_135652,10349,10
20130702_135704,4730,10
20130702_135652,15351,10
20130702_135652,12797,20
20130702_135652,16689,20
20130702_135652,2849,30
20130702_135652,13961,20
20130702_135704,57821,20
20130702_135652,3170,10
20130702_135704,16268,20
20130702_135704,79543,10
20130702_135704,84119,20
20130702_135652,12611,10
20130702_135652,2553,10
20130702_135652,4458,20
20130702_135704,59274,20
20130702_135704,75218,20
20130702_135652,14717,20
20130702_135652,11260,10
20130702_135704,13246,20
20130702_135652,229,10
20130702_135704,6277,10
20130702_135704,43919,15
20130702_135704,16436,15
20130702_135652,2863,10
20130702_135652,2525,10
20130702_135652,17931,10
20130702_135652,16542,20
20130702_135704,5779,20
20130702_135704,44568,20
20130702_135652,2064,20
20130702_135652,16562,20
20130702_135652,10918,10
20130702_135652,13757,20
20130702_135652,5249,20
20130702_135652,8565,20
20130702_135704,16886,20
20130702_135652,10229,10
20130702_135652,11245,10
20130702_135704,60669,10
20130702_135704,54921,20
20130702_135652,12079,10
20130702_135652,18231,10
20130702_135652,12732,10
20130702_135704,80754,20
20130702_135652,12227,20
20130702_135652,2035,10
20130702_135652,8384,20
20130702_135652,387,20
20130702_135704,44462,20
20130702_135652,4953,20
20130702_135652,4011,20
20130702_135652,17056,20
20130702_135704,313,10
20130702_135704,77178,20
20130702_135704,17163,20
20130702_135652,12177,05
20130702_135704,328,10
20130702_135652,2402,10
20130702_135652,12169,05
20130702_135652,16746,20
20130702_135652,14953,05
20130702_135652,2284,10
20130702_135704,50650,20
20130702_135652,3998,20
20130702_135652,3994,20
20130702_135704,10805,20
20130702_135704,3942,10
20130702_135652,11303,10
20130702_135652,10395,10
20130702_135652,2370,10
20130702_135704,14149,20
20130702_135652,8732,20
20130702_135652,6072,20
20130702_135652,14629,10
20130702_135652,18148,20
20130702_135652,17059,20
20130702_135704,23525,20
20130702_135652,16055,20
20130702_135704,43045,20
20130702_135652,12444,10
20130702_135704,18941,20
20130702_135704,28,05
20130702_135704,8553,20
20130702_135652,2991,30
20130702_135652,14188,10
20130702_135652,12577,10
20130702_135652,15356,20
20130702_135652,1683,20
